[    1170ms] [WARNING] <meta name="apple-mobile-web-app-capable" content="yes"> is deprecated. Please include <meta name="mobile-web-app-capable" content="yes"> @ https://testinginpractice.github.io/azbuka/?fresh=1:0
[    4000ms] [LOG] Godot Engine v4.6.3.stable.official.7d41c59c4 - https://godotengine.org @ https://testinginpractice.github.io/azbuka/index.js:451
[    4452ms] [LOG] OpenGL API OpenGL ES 3.0 (WebGL 2.0 (OpenGL ES 3.0 Chromium)) - Compatibility - Using Device: WebKit - WebKit WebGL @ https://testinginpractice.github.io/azbuka/index.js:451
[    4883ms] [LOG] Build configuration: Emscripten 4.0.20, single-threaded, no GDExtension support. @ https://testinginpractice.github.io/azbuka/index.js:451
[  259516ms] [LOG] [INFO] MainMenu: game_button_pressed  data={"game":"find_letter","title":"Найди букву"} @ https://testinginpractice.github.io/azbuka/index.js:451
[  305096ms] [LOG] [INFO] FindLetterGame: back_button_pressed  @ https://testinginpractice.github.io/azbuka/index.js:451
[  305708ms] [LOG] [INFO] MainMenu: game_button_pressed  data={"game":"azbuka","title":"Азбука"} @ https://testinginpractice.github.io/azbuka/index.js:451
[  430464ms] [LOG] [INFO] AzbukaGame: letter_pressed  data={"letter":"Н"} @ https://testinginpractice.github.io/azbuka/index.js:451
[  439195ms] [LOG] [INFO] nav: to_letter_card  data={"from":"azbuka","letter":"Н"} @ https://testinginpractice.github.io/azbuka/index.js:451
[  439477ms] [LOG] [INFO] letter_card: ready  data={"index":14,"letter":"Н"} @ https://testinginpractice.github.io/azbuka/index.js:451
[  485295ms] [LOG] [INFO] letter_card: prev  data={"from":"Н"} @ https://testinginpractice.github.io/azbuka/index.js:451
[  486001ms] [LOG] [INFO] letter_card: prev  data={"from":"М"} @ https://testinginpractice.github.io/azbuka/index.js:451
[  486705ms] [LOG] [INFO] letter_card: prev  data={"from":"Л"} @ https://testinginpractice.github.io/azbuka/index.js:451
[  487409ms] [LOG] [INFO] letter_card: prev  data={"from":"К"} @ https://testinginpractice.github.io/azbuka/index.js:451
